id_procedimiento,id_nota_hoja,tarifa
135,3,
136,3,
137,3,
138,3,
142,3,
143,3,
144,3,
145,3,
573,3,
574,3,
206,3,
400,3,
402,3,
404,3,
407,3,
408,3,
409,3,
410,3,
411,3,
412,3,
417,3,
418,3,
419,3,
421,3,
422,3,
425,3,
426,3,
427,3,
430,3,
431,3,
128,3,
130,3,
134,3,
385,3,
386,3,
387,3,
388,3,
389,3,
556,3,
558,3,
560,3,
3,3,
4,3,
5,3,
7,3,
8,3,
9,3,
10,3,
11,3,
12,3,
13,3,
14,3,
15,3,
17,3,
18,3,
19,3,
20,3,
21,3,
22,3,
25,3,
26,3,
27,3,
28,3,
29,3,
31,3,
35,3,
36,3,
37,3,
38,3,
39,3,
40,3,
41,3,
42,3,
443,3,
444,3,
445,3,
446,3,
447,3,
50,3,
52,3,
53,3,
54,3,
57,3,
58,3,
61,3,
62,3,
63,3,
64,3,
65,3,
66,3,
67,3,
68,3,
69,3,
70,3,
71,3,
72,3,
73,3,
74,3,
75,3,
76,3,
77,3,
78,3,
79,3,
81,3,
82,3,
89,3,
91,3,
92,3,
93,3,
94,3,
97,3,
98,3,
99,3,
100,3,
101,3,
102,3,
104,3,
105,3,
106,3,
107,3,
109,3,
110,3,
111,3,
112,3,
113,3,
116,3,
117,3,
118,3,
119,3,
120,3,
121,3,
122,3,
124,3,
126,3,
131,3,
139,3,
146,3,
157,3,
158,3,
163,3,
165,3,
171,3,
174,3,
175,3,
176,3,
177,3,
178,3,
179,3,
181,3,
184,3,
186,3,
189,3,
190,3,
192,3,
193,3,
197,3,
198,3,
199,3,
201,3,
204,3,
205,3,
207,3,
208,3,
209,3,
210,3,
212,3,
213,3,
222,3,
224,3,
225,3,
234,3,
238,3,
239,3,
240,3,
241,3,
242,3,
245,3,
247,3,
250,3,
256,3,
261,3,
265,3,
293,3,
294,3,
296,3,
297,3,
298,3,
299,3,
300,3,
302,3,
310,3,
311,3,
312,3,
313,3,
314,3,
315,3,
318,3,
319,3,
320,3,
321,3,
322,3,
323,3,
324,3,
325,3,
326,3,
327,3,
328,3,
329,3,
331,3,
333,3,
335,3,
336,3,
339,3,
341,3,
343,3,
344,3,
345,3,
346,3,
347,3,
348,3,
349,3,
351,3,
352,3,
353,3,
354,3,
355,3,
356,3,
357,3,
358,3,
359,3,
363,3,
364,3,
365,3,
366,3,
367,3,
369,3,
370,3,
371,3,
372,3,
373,3,
374,3,
393,3,
394,3,
395,3,
396,3,
397,3,
399,3,
403,3,
405,3,
413,3,
414,3,
415,3,
416,3,
423,3,
424,3,
428,3,
553,3,
562,3,
563,3,
564,3,
565,3,
566,3,
567,3,
568,3,
569,3,
570,3,
572,3,
576,3,
577,3,
583,3,
584,3,
406,3,
420,3,
3,3,
4,3,
5,3,
218,3,
260,3,
43,3,
59,3,
60,3,
361,3,
432,3,
391,3,
554,3,
555,3,
557,3,
559,3,
561,3,
23,3,
24,3,
30,3,
48,3,
160,3,
161,3,
164,3,
215,3,
227,3,
228,3,
230,3,
232,3,
243,3,
249,3,
253,3,
255,3,
257,3,
317,3,
334,3,
340,3,
362,3,
398,3,
571,3,
441,3,
337,3,
46,3,
47,3,
49,3,
167,3,
168,3,
663,3,
155,3,
476,3,
304,3,
288,3,
283,3,
271,3,
588,3,
662,3,
74,4,
165,4,
167,4,
168,4,
256,4,
343,4,
345,4,
348,4,
568,4,
569,4,
575,4,
8,4,
31,4,
35,4,
36,4,
37,4,
443,4,
444,4,
446,4,
61,4,
62,4,
63,4,
64,4,
65,4,
66,4,
67,4,
73,4,
157,4,
318,4,
319,4,
320,4,
321,4,
323,4,
324,4,
325,4,
327,4,
329,4,
331,4,
340,4,
341,4,
342,4,
346,4,
347,4,
355,4,
357,4,
358,4,
359,4,
362,4,
363,4,
364,4,
366,4,
405,4,
413,4,
578,4,
579,4,
580,4,
581,4,
582,4,
441,4,
130,4,
145,4,
391,4,
137,4,
144,4,
361,4,
